date,srcip,dstip,srcport,dstport,time,pkt_len,tos,id,flag,ttl,chksum
2015-05-21 13:01:00,3692839177,2243093270,443,48952,1432213260001285,1450,0,49515,2,86,55283
2015-05-21 13:01:00,3332217945,1545329626,51793,56819,1432213260001295,1408,8,11128,2,54,30987
2015-05-21 13:01:00,3696713410,2342718052,47064,554,1432213260001301,52,0,39868,2,58,54246
2015-05-21 13:01:00,146736697,3617492175,47577,80,1432213260001306,64,0,6793,2,59,45513
2015-05-21 13:01:00,636100076,1554569620,49941,80,1432213260001306,52,0,37576,2,52,14825
2015-05-21 13:01:00,636100076,1554569620,49941,80,1432213260001307,52,0,13985,2,52,38416
2015-05-21 13:01:00,1620786375,2243093034,443,62888,1432213260001318,1500,0,12177,2,58,1612
2015-05-21 13:01:00,1620786375,2243093034,443,62888,1432213260001319,171,0,12178,2,58,2940
2015-05-21 13:01:00,3726528858,3225663184,80,54334,1432213260001323,40,0,57240,2,57,48042
2015-05-21 13:01:00,2432513920,2243093449,44142,9042,1432213260001325,1175,0,25400,2,58,42788
2015-05-21 13:01:00,1342387779,3714480688,51991,443,1432213260001331,52,0,829,2,121,8362
2015-05-21 13:01:00,292778381,137688739,63693,443,1432213260001331,52,0,8218,2,54,41682
2015-05-21 13:01:00,1681023191,3617492223,64382,80,1432213260001332,52,8,56830,2,59,14358
2015-05-21 13:01:00,497703176,1505192087,13399,12321,1432213260001339,1453,0,23811,0,116,43836
2015-05-21 13:01:00,1787877175,1545329577,12093,31286,1432213260001345,1455,0,14736,0,119,35617
2015-05-21 13:01:00,2342757303,3617517253,57743,80,1432213260001346,52,0,64705,2,57,20291
2015-05-21 13:01:00,1572182624,1505192080,35591,32854,1432213260001347,1103,0,48680,2,56,50712
2015-05-21 13:01:00,2332389955,150789690,443,49518,1432213260001350,52,0,18398,2,60,4711
2015-05-21 13:01:00,1872553163,1505193259,80,55579,1432213260001361,1500,0,22180,2,57,51757
